# id	name	width	height	rows
MAZ016	星光迷宫 16	17	11	#################/#S#       #     #/# # ####### # # #/# #     #   # # #/# # ### # ### ###/# #   #     #   #/# ### ######### #/# #     #       #/# ####### ##### #/#         #    G#/#################
MAZ017	星光迷宫 17	17	11	#################/#S    #     #   #/##### # # ### # #/#   # # #     # #/# # # ######### #/# # #   #       #/# # ### # ##### #/# #     # # #   #/# ####### # # ###/#         #    G#/#################
MAZ018	星光迷宫 18	17	11	#################/#S  #         # #/### # ##### # # #/# # # # #   # # #/# # # # # ### # #/# # #   # #   # #/# # # ### # ### #/#   # #   #     #/# ##### ####### #/#       #      G#/#################
MAZ019	星光迷宫 19	17	11	#################/#S#   #   #     #/# # # ### # ### #/#   #   #   #   #/####### ### # # #/#     #   # # # #/# ####### # # # #/#       # # # # #/# ##### # ### # #/#     #       #G#/#################
MAZ020	星光迷宫 20	17	11	#################/#S  #       #   #/### ### ### # # #/# #   #   #   # #/# ### ######### #/#   #           #/### ########### #/#   #       #   #/# ### ##### # ###/#         #    G#/#################
MAZ021	星光迷宫 21	17	11	#################/#S    #   #     #/##### # # # ### #/# #   # # # #   #/# # ### ### # # #/#   #       # # #/# ### ####### # #/#   # #   #   # #/### ### # # ### #/#       #   #  G#/#################
MAZ022	星光迷宫 22	17	11	#################/#S#   #         #/# # # # ####### #/#   #   #   #   #/########### # ###/#       #   # # #/# ### # # # # # #/# # # #   # #   #/# # # ######### #/#   #          G#/#################
MAZ023	星光迷宫 23	17	11	#################/#S#     #   #   #/# ### # # # # # #/#   # # # #   # #/### # # ####### #/#   # #       # #/# ### ####### # #/# #   #     #   #/# ### # ### ### #/#     #   #    G#/#################
MAZ024	星光迷宫 24	17	11	#################/#S#             #/# # ####### ### #/# #       # # # #/# ######### # # #/#           # # #/############# # #/#         #   # #/# ######### # # #/#           #  G#/#################
MAZ025	星光迷宫 25	17	11	#################/#S  #           #/### ######### # #/# #         # # #/# ######### # # #/#         # # # #/# ######### # ###/# #   #   # #   #/# # # # # # ### #/#   #   #      G#/#################
MAZ026	星光迷宫 26	17	11	#################/#S#     #       #/# ### ### # ### #/#   #     #   # #/### ### ##### # #/# #   # # #   # #/# ### # # # ### #/#   # #   # # # #/# ### ##### # # #/#           #  G#/#################
MAZ027	星光迷宫 27	17	11	#################/#S#   #     #   #/# ### # # # # # #/#   # # # #   # #/### # # # ##### #/#   #   # #     #/# ### ### #######/#   #   #       #/### ########### #/#              G#/#################
MAZ028	星光迷宫 28	17	11	#################/#S#     #       #/# ##### # ### # #/#     #     # # #/##### ####### # #/#   #         # #/# # ########### #/# # #       #   #/# # # ##### # ###/# #       #    G#/#################
MAZ029	星光迷宫 29	17	11	#################/#S#             #/# # ########### #/#   #     #     #/##### ### # #####/#     #   #   # #/# # ### ##### # #/# #   #   #   # #/# ### ##### ### #/#   #          G#/#################
MAZ030	星光迷宫 30	17	11	#################/#S        #     #/######### # ### #/#     #   #   # #/# ### # ### # ###/# #   #   # #   #/# ####### ### # #/# #     #   # # #/# # # ##### ### #/#   #          G#/#################
MAZ031	星光迷宫 31	17	11	#################/#S    #         #/##### ### ##### #/#   # #   #   # #/### # # ### # # #/#   #   #   # # #/# # ##### # # # #/# # #   # # # # #/# ### # # # ### #/#     #   #    G#/#################
MAZ032	星光迷宫 32	17	11	#################/#S#       #     #/# # ####### # ###/# #   #     #   #/# # # # ####### #/# # #     #   # #/# ######### # # #/#           # # #/############# # #/#              G#/#################
MAZ033	星光迷宫 33	17	11	#################/#S  #           #/### # ######### #/#   # #       # #/# ##### ##### # #/#     # #   #   #/##### # # # ### #/#   # #   # #   #/# # # ##### # ###/# #         #  G#/#################
MAZ034	星光迷宫 34	17	11	#################/#S#   #         #/# ### # # #######/#   # # # #     #/### # # # # ### #/# # #   #     # #/# # # ######### #/#   # #     #   #/# ##### ### # # #/#       #     #G#/#################
MAZ035	星光迷宫 35	17	11	#################/#S    #       # #/##### ##### # # #/#   # #     #   #/# ### # ####### #/#     #     # # #/# ##### ### # # #/#     # #   #   #/##### ### ### ###/#         #    G#/#################
MAZ036	星光迷宫 36	17	11	#################/#S#   #         #/# # # ######### #/# # #         # #/# # ######### # #/# # #         # #/# # ####### ### #/# #       # #   #/# ####### # ### #/#         #    G#/#################
MAZ037	星光迷宫 37	17	11	#################/#S#             #/# ############# #/#   #       #   #/### # ##### # # #/# #   #   #   # #/# ##### ####### #/#     #       # #/# ### # ##### # #/#   #       #  G#/#################
MAZ038	星光迷宫 38	17	11	#################/#S  #       #   #/### # ### # ### #/#   #   # #     #/# ####### ##### #/#   #   # #     #/### # # # ### ###/# # # # #   #   #/# # # # ### ### #/#     #     #  G#/#################
MAZ039	星光迷宫 39	17	11	#################/#S#             #/# ############# #/#             # #/############# # #/#       #   # # #/# ### ### # # # #/# # #     # # # #/# # ####### # # #/#         #    G#/#################
MAZ040	星光迷宫 40	17	11	#################/#S#             #/# ######### ### #/#         # #   #/######### ### ###/#       #   #   #/# ##### ### # # #/# #   #   # # # #/# # # ##### ### #/#   #          G#/#################
MAZ041	星光迷宫 41	17	11	#################/#S#             #/# # ##### #######/# # #   #       #/# ### # ##### # #/# #   # #   # # #/# # ### # # ### #/# # # #   # #   #/# # # ##### # # #/#   #         #G#/#################
MAZ042	星光迷宫 42	17	11	#################/#S  #     # #   #/### ### # # # # #/# # #   # #   # #/# # # ### ### # #/# # #   #   # # #/# # ### ### ### #/#   #   # # #   #/# ### ### # # # #/#     #       #G#/#################
MAZ043	星光迷宫 43	17	11	#################/#S  # #       # #/### # # # ### # #/# # # # # #   # #/# # # # # # ### #/#   #   # # #   #/# ### ### # ### #/# #   #   #   # #/# ##### ##### # #/#       #      G#/#################
MAZ044	星光迷宫 44	17	11	#################/#S          #   #/########### # # #/#   #     #   # #/# # # ### ##### #/# # #   #     # #/# ##### ### ### #/#   #   # #   # #/# # # ### ### # #/# #         #  G#/#################
MAZ045	星光迷宫 45	17	11	#################/#S      #   #   #/####### # # # # #/#   #   # #   # #/### # ### ##### #/#   #   #   #   #/# # ### ##### # #/# #   # #   # # #/# ##### # # # # #/#         #   #G#/#################
MAZ046	星光迷宫 46	17	11	#################/#S#             #/# ##### #########/#     #         #/##### # ##### # #/#   # # #   # # #/### # ### # # # #/#   # #   # # # #/# ### # ### ### #/#       #      G#/#################
MAZ047	星光迷宫 47	17	11	#################/#S    #   #     #/##### # ### ### #/# #   #       # #/# # ########### #/# # #         # #/# # ### ##### # #/# #     #   #   #/# ####### # ### #/#         #    G#/#################
MAZ048	星光迷宫 48	17	11	#################/#S#     #       #/# # # ### ### # #/# # # #   # # # #/# # # # ### # ###/# # #       #   #/# ######### ### #/# #       #   # #/# # ##### ##### #/#   #          G#/#################
