# id	difficulty	puzzle	solution
SDK064	进阶	9..68...7....27....5.....8.52....8.6..9.1..73..78.....21.7549.8....3..628..1.2..4	934681527168527349752349681521473896689215473347896215216754938475938162893162754
SDK065	进阶	186......53.7..16...21..5.341.......6...8...5..3.9.4..34.952....67...9...25...3.4	186543729534729168792168543418235697679481235253697481341952876867314952925876314
SDK066	进阶	.8.....346......9.2.7.64........8429....4.5.342.65......67...42.4.58.971....3.8..	185927634634815297297364185563178429718249563429653718856791342342586971971432856
SDK067	进阶	5.1987...8...3.....2..5.7...651...2..1.7..5.6..3.45.9..8...49...3..19.78..9.7....	541987632897236154326451789465198327918723546273645891782364915634519278159872463
SDK068	进阶	1.67..2..5.73.2.16...6.9...43..2.7.12.8.....5...5..6.8.8.......7.9.3.1....297...4	196754283547382916823619457435826791268197345971543628384261579759438162612975834
SDK069	挑战	317.......5.71....6.2..87....1.3...99.....4....4.6..87.....589..26.9....19.......	317246958859713246642958713781432569965187432234569187473625891526891374198374625
SDK070	挑战	5.4............7...73.6.2.48.2...631..7.........58...7...3768..1...2.3..7.6..5...	524793168618254793973168254852947631497631582361582947249376815185429376736815429
SDK071	挑战	5..3..6.......9.8.....7.9.542..5...9...938.24.....71..1...4........9.2.884...5...	519384672276519483384276915427651839651938724938427156193842567765193248842765391
SDK072	挑战	.......53.9.......6.1...7.83.4....1..2.....34..7..5.....659......2643.9..8...134.	278164953593827461641359728354982617829716534167435289436598172712643895985271346
SDK073	挑战	.3......92...584..6.1..9...392.4..........84...5..6.3.8...1.6....46.728...7......	538461729279358461641729358392845176716932845485176932823514697154697283967283514
SDK074	挑战	6..4..579.......4.83...9......37..96.......3.75.92..........38.3.85.21...46......	612483579597261843834759621481375296269148735753926418925614387378592164146837952
SDK075	挑战	..2.....9.4.9.6.....9.8.1.....7....891.8...3.2..4.5.177....8.2..9....7.14.3......	382541679145976382679283145534719268917862534268435917751698423896324751423157896
SDK076	挑战	..8.3..6......431.71.....2........3..3.97.5.2....41.........1..34.719..8.7...82..	428137965569284317713695824697852431134976582285341796856423179342719658971568243
SDK077	挑战	..49....6....35.1....62.35..93.1...2........7.....45.36....3..5....9.6..9..1.2.3.	354971286286435719719628354593716842842359167167284593621843975438597621975162438
SDK078	挑战	.........2.5..4.6...3...7414.....912..........12.7.65..7...8...3.456....526..7...	741836295295714863863259741437685912658921437912473658179348526384562179526197384
SDK079	挑战	..5......8...134.2.732..8.......19462..6....3.......1...9......64...9.715...6...8	425986137896713452173245869738521946251694783964378215389157624642839571517462398
SDK080	挑战	.72.5..64...4..17.3........6...74...7..1......2......323.891.5..........4..72..18	172958364589436172364217589695374821743182695821569743237891456918645237456723918
SDK081	挑战	9.2....65...8.9.....16..2..67.....1.3.5...4....41.3....5..8..4224..6......8.....1	982314765567829134431675289679248513315796428824153976156987342243561897798432651
SDK082	挑战	85.1..6...4....25...6....43297....36...7..5.1.......9....3.....52..1.3.....92...4	852143679341679258976258143297581436634792581185436792418367925529814367763925814
SDK083	挑战	8..534..1.6...8.......1....985..3..2..2859......7.......7....9...437621.......6..	829534761761298453453617829985463172172859346346721985637182594594376218218945637
SDK084	挑战	1....94..46...5....3964......6..7.2....45.9....7.835...8..7...1.....2......9.16..	175329468468715239239648175546197823823456917917283546682574391391862754754931682
SDK085	挑战	..8...369....47........378...4....95....3.8..87....64..2..6..5...7...9.......9476	748215369396847521512693784634178295259436817871952643923764158467581932185329476
SDK086	挑战	.6..4.....736..1...18..3.2...7....81...2.7....4.581.3.1..9.....6....5.....2...31.	269148753573629148418753629327496581851237496946581237135972864684315972792864315
SDK087	挑战	.8....3.7.794........3...1.7......35.5...9821.12....4..3.9..16.12..7.........2...	481256397379418256265397418794821635653749821812635749537984162126573984948162573
SDK088	挑战	..8.415.....2.9...9...7.41.2.4.......3....9....7492.8.7..1......8.36..4...1.8....	378641592146259738952873416294538167835716924617492385763124859589367241421985673
SDK089	挑战	3.........6....128.82..7...62...38.5..3..1...85.......7.4358...53.....4..16......	345812976967435128182697354629743815473581692851269437794358261538126749216974583
SDK090	挑战	.....359..4.....3.27.45........8...38.23....97.59...2.3....8......5......68.17..5	681723594549861237273459618496182753812375469735946821354698172127534986968217345
SDK091	挑战	.1..7....3..1247...5...3......6...299.....86.....3.4.1.81.5...2.....75....54...8.	412578693396124758857963214174685329923741865568239471781356942249817536635492187
SDK092	挑战	.6...1...5.1.93.8.2.3..851....3....7..4.5..........19.9..6...58.37.8......59.....	768541239541293786293768514159326847874159362326874195912637458637485921485912673
SDK093	挑战	9....7.4.3716...8....95.1.........95..7.....226...943.4.6..........619.8.2.......	985317246371624589642958173134286795597143862268579431416892357753461928829735614
SDK094	挑战	89...1..3..2...9.........623..74.........6.31......8..47...2.16..6...2...2816...5	897621453612534987543879162351748629784296531269315874475982316136457298928163745
SDK095	挑战	.284..97...4.93...9...5....4.1..5..6...28.4..8.......5...91.35..79.3.........4...	528461973614793582937852641491375826753286419862149735246917358179538264385624197
SDK096	挑战	..1.73..94..68.1..69....7.......4...7...2...5..213...42....1.....4....2.97..5..3.	521473869437689152698512743153794286749826315862135974285341697314967528976258431
